2023-08-18 13:41:52,KL07CP7235,Detected
2023-08-18 13:41:52,,Plate Detected
2023-08-18 13:41:52,Gate Opened
2023-08-18 13:41:54,Gate Closed
2023-08-18 13:41:54,KL07CP7235,Detected
2023-08-18 13:41:54,,Plate Detected
2023-08-18 13:41:54,Gate Opened
2023-08-18 13:41:56,Gate Closed
2023-08-18 22:38:23,KLO7CP7235,Detected
2023-08-18 22:38:23,,Plate Detected
2023-08-18 22:38:23,Gate Opened
2023-08-18 22:38:24,KLO7CP7235,Detected
2023-08-18 22:38:24,,Plate Detected
2023-08-18 22:38:25,KLO7CP7235,Detected
2023-08-18 22:38:25,,Plate Detected
2023-08-18 22:38:25,Gate Closed
2023-08-18 22:38:27,KLO7CP7235,Detected
2023-08-18 22:38:27,,Plate Detected
2023-08-18 22:38:27,Gate Opened
2023-08-18 22:38:27,KLO7CP7235,Detected
2023-08-18 22:38:27,,Plate Detected
2023-08-18 22:38:28,KLO7CP7235,Detected
2023-08-18 22:38:28,,Plate Detected
2023-08-18 22:38:28,KLO7CP7235,Detected
2023-08-18 22:38:28,,Plate Detected
2023-08-18 22:38:29,KLO7CP7235,Detected
2023-08-18 22:38:29,,Plate Detected
2023-08-18 22:38:29,Gate Closed
2023-08-18 22:38:29,KLO7CP7235,Detected
2023-08-18 22:38:29,,Plate Detected
2023-08-18 22:38:29,Gate Opened
2023-08-18 22:38:29,KLO7CP7235,Detected
2023-08-18 22:38:29,,Plate Detected
2023-08-18 22:38:30,KLO7CP7235,Detected
2023-08-18 22:38:30,,Plate Detected
2023-08-18 22:38:31,Gate Closed
2023-08-18 22:38:31,KLO7CP7235,Detected
2023-08-18 22:38:31,,Plate Detected
2023-08-18 22:38:31,Gate Opened
2023-08-18 22:38:32,KLO7CP7235,Detected
2023-08-18 22:38:32,,Plate Detected
2023-08-18 22:38:33,KLO7CP7235,Detected
2023-08-18 22:38:33,,Plate Detected
2023-08-18 22:38:33,KLO7CP7235,Detected
2023-08-18 22:38:33,,Plate Detected
2023-08-18 22:38:33,Gate Closed
2023-08-18 22:38:36,KLO7CP7235,Detected
2023-08-18 22:38:36,,Plate Detected
2023-08-18 22:38:36,Gate Opened
2023-08-18 22:38:36,KLO7CP7235,Detected
2023-08-18 22:38:36,,Plate Detected
2023-08-18 22:38:37,KLO7CP7235,Detected
2023-08-18 22:38:37,,Plate Detected
2023-08-18 22:38:37,KLO7CP7235,Detected
2023-08-18 22:38:37,,Plate Detected
2023-08-18 22:38:38,KLO7CP7235,Detected
2023-08-18 22:38:38,,Plate Detected
2023-08-18 22:38:38,Gate Closed
2023-08-18 22:38:39,KLO7CP7235,Detected
2023-08-18 22:38:39,,Plate Detected
2023-08-18 22:38:39,Gate Opened
2023-08-18 22:38:40,KLO7CP7235,Detected
2023-08-18 22:38:40,,Plate Detected
2023-08-18 22:38:41,Gate Closed
2023-08-18 22:54:01,KLO7CP7235,Detected
2023-08-18 22:54:01,,Plate Detected
2023-08-18 22:54:01,Gate Opened
2023-08-18 22:54:03,Gate Closed
2023-08-18 22:54:15,KLO7CP7235,Detected
2023-08-18 22:54:15,,Plate Detected
2023-08-18 22:54:15,Gate Opened
2023-08-18 22:54:16,KLO7CP7235,Detected
2023-08-18 22:54:16,,Plate Detected
2023-08-18 22:54:16,KLO7CP7235,Detected
2023-08-18 22:54:16,,Plate Detected
2023-08-18 22:54:17,Gate Closed
2023-08-18 22:54:17,KLO7CP7235,Detected
2023-08-18 22:54:17,,Plate Detected
2023-08-18 22:54:17,Gate Opened
2023-08-18 22:54:17,KLO7CP7235,Detected
2023-08-18 22:54:17,,Plate Detected
2023-08-18 22:54:18,KLO7CP7235,Detected
2023-08-18 22:54:18,,Plate Detected
2023-08-18 22:54:19,Gate Closed
2023-08-18 22:54:19,KLO7CP7235,Detected
2023-08-18 22:54:19,,Plate Detected
2023-08-18 22:54:19,Gate Opened
2023-08-18 22:54:19,KLO7CP7235,Detected
2023-08-18 22:54:19,,Plate Detected
2023-08-18 22:54:20,KLO7CP7235,Detected
2023-08-18 22:54:20,,Plate Detected
2023-08-18 22:54:21,Gate Closed
2023-08-18 22:54:21,KLO7CP7235,Detected
2023-08-18 22:54:21,,Plate Detected
2023-08-18 22:54:21,Gate Opened
2023-08-18 22:54:23,KLO7CP7235,Detected
2023-08-18 22:54:23,,Plate Detected
2023-08-18 22:54:23,Gate Closed
2023-08-22 14:50:33,KLO7CP7235,Detected
2023-08-22 14:50:33,,Plate Detected
2023-08-22 14:50:33,Gate Opened
2023-08-22 14:50:35,Gate Closed
